{'time':'26/07/2023 11:26:22 PM', 'name': 'global', 'level': 'INFO', 'message': 'postgresql://postgres:necshuhrat@localhost:5432/test_system'}
{'time':'27/07/2023 11:44:15 AM', 'name': 'global', 'level': 'INFO', 'message': '20'}
{'time':'27/07/2023 11:44:15 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot started'}
{'time':'27/07/2023 11:47:21 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Shutting down..'}
{'time':'27/07/2023 11:47:21 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot down'}
{'time':'27/07/2023 11:47:26 AM', 'name': 'global', 'level': 'INFO', 'message': 'postgresql://postgres:necshuhrat@localhost:5432/test_system'}
{'time':'27/07/2023 11:47:28 AM', 'name': 'global', 'level': 'INFO', 'message': 'DB connected'}
{'time':'27/07/2023 11:47:28 AM', 'name': 'global', 'level': 'INFO', 'message': '20'}
{'time':'27/07/2023 11:47:28 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot started'}
{'time':'27/07/2023 11:48:13 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Shutting down..'}
{'time':'27/07/2023 11:48:13 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot down'}
{'time':'27/07/2023 11:48:18 AM', 'name': 'global', 'level': 'INFO', 'message': 'postgresql://postgres:necshuhrat@localhost:5432/test_system'}
{'time':'27/07/2023 11:48:19 AM', 'name': 'global', 'level': 'INFO', 'message': 'DB connected'}
{'time':'27/07/2023 11:48:19 AM', 'name': 'global', 'level': 'INFO', 'message': '20'}
{'time':'27/07/2023 11:48:19 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot started'}
{'time':'27/07/2023 11:49:48 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Shutting down..'}
{'time':'27/07/2023 11:49:48 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot down'}
{'time':'27/07/2023 11:49:54 AM', 'name': 'global', 'level': 'INFO', 'message': 'postgresql://postgres:necshuhrat@localhost:5432/test_system'}
{'time':'27/07/2023 11:49:55 AM', 'name': 'global', 'level': 'INFO', 'message': 'DB connected'}
{'time':'27/07/2023 11:49:55 AM', 'name': 'global', 'level': 'INFO', 'message': '20'}
{'time':'27/07/2023 11:49:55 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot started'}
{'time':'27/07/2023 11:50:29 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Shutting down..'}
{'time':'27/07/2023 11:50:29 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot down'}
{'time':'27/07/2023 11:50:33 AM', 'name': 'global', 'level': 'INFO', 'message': 'postgresql://postgres:necshuhrat@localhost:5432/test_system'}
{'time':'27/07/2023 11:50:34 AM', 'name': 'global', 'level': 'INFO', 'message': 'DB connected'}
{'time':'27/07/2023 11:50:34 AM', 'name': 'global', 'level': 'INFO', 'message': '20'}
{'time':'27/07/2023 11:50:34 AM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot started'}
{'time':'27/07/2023 02:05:15 PM', 'name': 'global', 'level': 'WARNING', 'message': 'Shutting down..'}
{'time':'27/07/2023 02:05:15 PM', 'name': 'global', 'level': 'WARNING', 'message': 'Bot down'}
